type	latitude	longitude	altitude (m)	name
T	42.114000000	-87.902000000	195.5	
T	34.210000000	-118.490000000	237.3	
T	36.124000000	-86.678000000	173.8	
T	46.528000000	-100.567000000	490.5	
T	26.002000000	-80.240000000	2.1	
T	64.989000000	-150.647000000	80.3	
T	61.595000000	-149.089000000	70.8	
T	48.472000000	-122.418000000	34.9	
T	33.564000000	-92.081000000	68.5	
T	39.589000000	-84.225000000	287.8	
T	18.455000000	-66.663000000	3.0	
T	47.941000000	-117.626000000	694.5	
T	39.079000000	-84.210000000	253.0	
T	42.799000000	-77.842000000	169.8	
T	40.242000000	-87.567000000	208.9	
T	35.318000000	-110.660000000	1549.8	
T	44.029000000	-117.018000000	657.9	
T	40.698000000	-84.636000000	243.4	
T	40.196000000	-89.304000000	183.9	
T	36.349000000	-92.556000000	142.1	
T	34.947000000	-91.114000000	60.2	
T	30.061000000	-95.553000000	45.7	
T	40.110000000	-88.683000000	214.9	
T	33.812000000	-78.724000000	9.3	
T	32.684000000	-96.873000000	195.2	
T	26.197000000	-80.171000000	3.7	
T	48.608000000	-112.376000000	1174.2	
T	35.237000000	-120.642000000	57.5	
T	44.326000000	-84.788000000	358.6	
T	32.029000000	-96.397000000	134.4	
T	61.567000000	-148.550000000	1249.2	
T	45.514000000	-115.443000000	1723.7	
T	43.170000000	-88.470000000	265.7	
T	37.720000000	-76.841000000	42.0	
T	37.108000000	-79.592000000	267.9	
T	41.944000000	-88.924000000	268.3	
T	37.515000000	-122.250000000	1.1	
T	36.032000000	-78.318000000	76.8	
T	32.958000000	-84.268000000	232.9	
T	42.543000000	-83.179000000	216.3	
T	35.608000000	-76.778000000	3.6	
T	45.863000000	-84.644000000	219.1	
T	31.817000000	-97.569000000	235.1	
T	25.778000000	-80.170000000	0.0	
T	30.499000000	-97.969000000	370.4	
T	38.668000000	-121.401000000	20.6	
T	32.609000000	-82.370000000	97.5	
T	30.352000000	-85.841000000	17.8	
T	44.854000000	-74.329000000	234.8	
T	34.745000000	-85.690000000	452.1	
T	38.836000000	-95.182000000	269.9	
T	42.291000000	-73.710000000	56.7	
T	43.166000000	-95.203000000	407.4	
T	38.311000000	-75.130000000	2.5	
T	41.562000000	-101.600000000	1092.3	
T	61.187000000	-149.966000000	21.7	
T	40.218000000	-111.931000000	1974.3	
T	61.500000000	-150.568000000	12.6	
