Latitude,Longitude,altitude (m),Injury.Severity,Aircraft.Damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Amateur.Built,Total.Passengers
32.899,-80.041,11.9,NON-FATAL,SUBSTANTIAL,AIRPLANE,HONDA AIRCRAFT,HA-420,2,TURBO JET,PART 91: GENERAL AVIATION,EXECUTIVE/CORPORATE,0,0,0,5,IMC,LANDING,NO,5
32.447,-98.683,444.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,B36,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,4,VMC,TAKEOFF,NO,4
42.75,-116.675,1605,NON-FATAL,SUBSTANTIAL,AIRPLANE,REED MIKE,SMITHS SUPER CUB,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,LANDING,NO,1
25.999,-80.468,3.1,NON-FATAL,SUBSTANTIAL,AIRPLANE,CHAMPION,7ECA,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,2,0,0,VMC,MANEUVERING,NO,2
29.937,-92.32,1.3,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,1,0,VMC,CRUISE,NO,1
40.176,-76.727,84.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA46,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,2,0,VMC,APPROACH,NO,2
35.615,-79.882,222.1,FATAL,DESTROYED,AIRPLANE,PIPER,PA28,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,2,0,0,0,VMC,APPROACH,NO,2
42.78,-84.606,257.1,FATAL,SUBSTANTIAL,AIRPLANE,SOCATA,TBM 700,1,TURBO PROP,PART 91: GENERAL AVIATION,BUSINESS,5,1,0,0,IMC,APPROACH,NO,6
41.932,-72.692,47.6,FATAL,DESTROYED,AIRPLANE,BOEING,B17,4,RECIPROCATING,PART 91: GENERAL AVIATION,OTHER WORK USE,7,5,2,0,VMC,LANDING,NO,14
33.93,-78.736,10.4,NON-FATAL,SUBSTANTIAL,AIRPLANE,TAYLORCRAFT,BC12,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,CRUISE,NO,1
41.146,-80.168,404.9,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,55,2,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,LANDING,NO,1
29.024,-81.344,14.7,FATAL,DESTROYED,AIRPLANE,CESSNA,421,2,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,3,0,0,0,VMC,MANEUVERING,NO,3
39.095,-122.098,26.1,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 12,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,TAXI,NO,1
33.461,-111.728,420.1,NON-FATAL,SUBSTANTIAL,AIRPLANE,DIAMOND,DA 40,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,1,VMC,LANDING,NO,1
31.479,-92.461,61,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 22,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,LANDING,NO,2
33.498,-88.419,54.8,NON-FATAL,SUBSTANTIAL,AIRPLANE,AIR TRACTOR,AT802,1,TURBO PROP,PART 137: AGRICULTURAL,AERIAL APPLICATION,0,1,0,0,VMC,MANEUVERING,NO,1
35.906,-105.559,3276.3,FATAL,DESTROYED,AIRPLANE,AMERICAN AVIATION,AA5,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,2,0,0,0,VMC,CLIMB,NO,2
42.815,-108.729,1701.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,J3C,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,2,0,VMC,TAKEOFF,NO,2
29.959,-81.34,1.6,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,1,VMC,LANDING,NO,1
40.786,-99.778,732.7,NON-FATAL,SUBSTANTIAL,AIRPLANE,CIRRUS,SR22,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,1,1,0,VMC,GO-AROUND,NO,2
60.979,-151.892,23,NON-FATAL,SUBSTANTIAL,AIRPLANE,STINSON,108,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,1,1,0,VMC,TAKEOFF,NO,2
34.601,-78.579,39,NON-FATAL,DESTROYED,AIRPLANE,CESSNA,182,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,1,0,2,VMC,LANDING,NO,3
29.959,-81.34,1.6,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,337,2,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,2,0,0,VMC,TAKEOFF,NO,2
40.529,-74.59,8.5,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,1,VMC,APPROACH,NO,1
